78,AS9249,VUTELECOM-AS01-VU-AP Telecom Vanuatu ... ,VU,0,4,36 minutes
79,AS47409,TPI-AS,DE,0,2,36 minutes
80,AS43061,SI-STELKOM,SI,0,1,36 minutes
81,AS32987,AS080780,US,0,1,36 minutes
82,AS9913,IIG-AS-AP Internet Information Group ... ,AU,0,1,36 minutes
83,AS138800,PEERNPL-AS-IN Peer Networks Private  ... ,IN,0,4,36 minutes
84,AS262452,VCNETWORK SOLUCOES TECNOLOGICA,BR,0,4,37 minutes
85,AS24589,TELENETSIA-AS Telenet AUT-NUM peerin ... ,LV,1,1,37 minutes
86,AS60362,ALWAYSDATA,FR,0,2,38 minutes
87,AS267188,Net Info Informatica Ltda,BR,0,1,38 minutes
88,AS30619,TDM-AS,MZ,0,1,38 minutes
89,AS266531,GIGALINK INFORMATICA E INTERNET LTDA ... ,BR,0,2,38 minutes
90,AS268224,TCPNET INFORMATICA E COMUNICACAO EIR ... ,BR,0,1,38 minutes
91,AS12348,AS12348 Hermann-Glockner-Str. 7,DE,0,1,39 minutes
92,AS196682,UADOMEN-AS,UA,0,14,39 minutes
93,AS15706,Sudatel,SD,0,1,39 minutes
94,AS44889,AZMA-AS,IR,0,1,39 minutes
95,AS263469,J P de Souza Telecomunicacoes EPP,BR,0,5,39 minutes
96,AS47066,PRGMR,US,0,12,40 minutes
97,AS30499,YSU-AS,US,0,1,40 minutes
98,AS12574,ROUTING Franzstr. 51  52064 Aachen,DE,0,5,41 minutes
99,AS264870,Ipnet Comunicacoes LTDA,BR,0,1,42 minutes
100,AS15510,CWCS-PS CompuWeb Communications Serv ... ,GB,0,2,42 minutes
101,AS132658,IDNIC-DISKOMINFOPROVSU-AS-ID Dinas K ... ,ID,0,1,43 minutes
102,AS138996,UNICOMMS-AS-AP Uni Comms Internation ... ,MY,0,1,43 minutes
103,AS15535,VIRTUALXS-AS,NL,0,1,43 minutes
104,AS44676,VMAGE-AS,RU,0,1,43 minutes
105,AS29226,MASTERTEL-AS Moscow  Russia,RU,1,1,43 minutes
106,AS270366,Jean Franck Ximenes,BR,0,1,43 minutes
107,AS197781,AVERS-AS,UA,0,1,44 minutes
108,AS56580,CYBERCOM-AS Cybercom internet provid ... ,RU,0,1,44 minutes
109,AS34240,MANITU,DE,0,2,45 minutes
110,AS136336,TICFIBER-AS Thamizhaga Internet Comm ... ,IN,0,1,45 minutes
111,AS25317,MB-T-AS Am Grossen Teich 33,DE,0,1,45 minutes
112,AS268228,PEDRO ARAUJO DO NASCIMENTO NETO,BR,0,1,46 minutes
113,AS3925,ICO-SV,US,0,1,46 minutes
114,AS136320,WORLDVIS-AS-IN World Vision Networks ... ,IN,0,1,47 minutes
115,AS199835,VEVIDA,NL,0,1,47 minutes
116,AS136720,AIRTECHZONE-AS-IN Airtechzone Servic ... ,IN,0,1,48 minutes
117,AS58142,RASANE-AS Samaneh Sama Pishro Persia ... ,GB,0,1,48 minutes
118,AS133684,SUNBROADBAND-AS Sun Broadband And Da ... ,IN,0,2,49 minutes
119,AS48861,APAGA FiberNet Network,AM,0,2,49 minutes
120,AS51790,SIEL,SI,1,10,49 minutes
121,AS6713,IAM-AS,MA,0,12,50 minutes
122,AS19397,ACN-DIGITAL-PHONE,CA,0,1,50 minutes
123,AS55953,XIM-HK Room 704  ChinaChen Leighton  ... ,JP,0,1,50 minutes
124,AS270592,new core tecnologia e informatica ei ... ,BR,0,1,51 minutes
125,AS36086,TELX-LEGACY,US,0,1,51 minutes
126,AS39537,HNS http://www.hns.net,GB,0,1,51 minutes
127,AS52772,Sjnet Telecomunicacoes ERIELI,BR,0,1,52 minutes
128,AS20915,HUNDRED-PERCENT-IT,GB,0,1,52 minutes
